Genome	Description	TotalLength
GCF_006788875.1	HMLHBJJD_00524 Methionine import ATP-binding protein MetN	342
GCF_006788875.1	HMLHBJJD_00743 hypothetical protein	294
GCF_022489035.1	HMMCHDBO_01615 hypothetical protein	428
GCF_022489035.1	HMMCHDBO_00846 Ribonuclease 3	243
GCF_022489035.1	HMMCHDBO_01520 Adaptive-response sensory-kinase SasA	403
GCF_022489035.1	HMMCHDBO_00109 hypothetical protein	66
GCF_022489035.1	HMMCHDBO_02651 hypothetical protein	341
GCF_001482365.1	HMMHPMLO_00287 hypothetical protein	484
GCF_001482365.1	HMMHPMLO_01824 Cell division protein FtsQ	395
GCF_001482365.1	HMMHPMLO_00810 hypothetical protein	378
GCF_001482365.1	HMMHPMLO_02089 Muconolactone Delta-isomerase	92
GCF_001482365.1	HMMHPMLO_02872 Protein translocase subunit SecE	92
GCF_001012815.1	HMMLMPHL_00231 Osmoregulated proline transporter OpuE	272
GCF_001012815.1	HMMLMPHL_00363 Oxaloacetate decarboxylase alpha chain	159
GCF_001012815.1	HMMLMPHL_02855 hypothetical protein	495
GCF_001012815.1	HMMLMPHL_04433 Competence protein ComM	115
GCF_001012815.1	HMMLMPHL_00452 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	164
GCF_000018945.1	HMNEGNMB_00445 Glucose-1-phosphate adenylyltransferase	423
GCF_000018945.1	HMNEGNMB_01874 hypothetical protein	257
GCF_000018945.1	HMNEGNMB_00306 Spore protein SP21	147
GCF_000018945.1	HMNEGNMB_00137 Methionyl-tRNA formyltransferase	311
GCF_000018945.1	HMNEGNMB_01941 UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase	377
GCF_022376815.1	HMNJJJOI_02009 hypothetical protein	106
GCF_022376815.1	HMNJJJOI_04897 tRNA-cytidine(32) 2-sulfurtransferase	350
GCF_022376815.1	HMNJJJOI_00945 D-inositol-3-phosphate glycosyltransferase	407
GCF_022376815.1	HMNJJJOI_02647 LPS-assembly lipoprotein LptE	189
GCF_022376815.1	HMNJJJOI_01518 Beta-phosphoglucomutase	221
GCF_000617865.1	HMOEOMAA_01590 hypothetical protein	509
GCF_000617865.1	HMOEOMAA_00647 hypothetical protein	247
GCF_000617865.1	HMOEOMAA_01414 Dihydropteroate synthase	291
GCF_000617865.1	HMOEOMAA_03400 Lipopolysaccharide export system ATP-binding protein LptB	262
GCF_000617865.1	HMOEOMAA_01775 hypothetical protein	201
GCF_021021275.1	HMOPHCBM_03738 HTH-type transcriptional regulator PuuR	182
GCF_021021275.1	HMOPHCBM_02493 Cytidine deaminase	139
GCF_021021275.1	HMOPHCBM_01285 hypothetical protein	62
GCF_021021275.1	HMOPHCBM_02175 hypothetical protein	198
GCF_021021275.1	HMOPHCBM_01093 hypothetical protein	200
GCF_900105815.1	HMPEBMFA_04936 hypothetical protein	76
GCF_900105815.1	HMPEBMFA_04230 hypothetical protein	122
GCF_900105815.1	HMPEBMFA_03444 D-alanine--D-alanine ligase	319
GCF_900105815.1	HMPEBMFA_02893 hypothetical protein	84
GCF_900105815.1	HMPEBMFA_02063 Prophage integrase IntA	99
GCF_009910675.1	HMPEFEIA_03642 hypothetical protein	132
GCF_009910675.1	HMPEFEIA_03134 Flagellar hook-basal body complex protein FliE	114
GCF_009910675.1	HMPEFEIA_00410 HTH-type transcriptional repressor PurR	335
GCF_009910675.1	HMPEFEIA_01438 4-hydroxy-tetrahydrodipicolinate synthase	317
GCF_009910675.1	HMPEFEIA_02677 hypothetical protein	217
GCF_020405345.1	HNAAACLM_02852 hypothetical protein	693
GCF_020405345.1	HNAAACLM_02873 Sulfate adenylyltransferase subunit 2	297
GCF_020405345.1	HNAAACLM_00587 hypothetical protein	70
GCF_020405345.1	HNAAACLM_03164 Peptide chain release factor RF1	362
GCF_020405345.1	HNAAACLM_00690 hypothetical protein	146
GCF_003111605.1	HNAIGODD_00332 Thioredoxin	86
GCF_003111605.1	HNAIGODD_00432 hypothetical protein	241
GCF_003111605.1	HNAIGODD_00149 GDP-L-fucose synthase	322
GCF_003111605.1	HNAIGODD_00591 NAD-dependent protein deacetylase	238
GCF_003111605.1	HNAIGODD_00941 hypothetical protein	194
GCF_000296445.1	HNANBILG_01681 hypothetical protein	163
GCF_000296445.1	HNANBILG_00070 Endolytic murein transglycosylase	366
GCF_000296445.1	HNANBILG_00066 60 kDa chaperonin 2	541
GCF_000296445.1	HNANBILG_00833 putative ABC transporter ATP-binding protein YheS	716
GCF_000296445.1	HNANBILG_00381 Fumarate reductase flavoprotein subunit	577
GCF_003952885.1	HNAPHEBJ_00146 Oligo-1,6-glucosidase	557
GCF_003952885.1	HNAPHEBJ_02084 hypothetical protein	157
GCF_003952885.1	HNAPHEBJ_01293 50S ribosomal protein L20	118
GCF_003952885.1	HNAPHEBJ_01520 Energy-coupling factor transporter ATP-binding protein EcfA1	225
GCF_003952885.1	HNAPHEBJ_02978 Putative N-acetylmannosamine-6-phosphate 2-epimerase	228
GCF_001010945.1	HNBIIOGG_02118 Ribosomal RNA small subunit methyltransferase B	412
GCF_001010945.1	HNBIIOGG_02572 hypothetical protein	235
GCF_001010945.1	HNBIIOGG_01768 Sensory transduction protein LytR	249
GCF_001010945.1	HNBIIOGG_01574 hypothetical protein	167
GCF_001010945.1	HNBIIOGG_00056 Acyl-CoA dehydrogenase	394
GCF_003987435.1	HNCFOMGN_01256 Cytochrome c551 peroxidase	332
GCF_003987435.1	HNCFOMGN_00366 Cytidylate kinase	233
GCF_003987435.1	HNCFOMGN_01954 Metalloprotease TldD	481
GCF_003987435.1	HNCFOMGN_00592 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	147
GCF_003987435.1	HNCFOMGN_01866 hypothetical protein	598
GCF_000975075.1	HNCGLAIL_02549 hypothetical protein	248
GCF_000975075.1	HNCGLAIL_00756 hypothetical protein	351
GCF_000975075.1	HNCGLAIL_02025 hypothetical protein	268
GCF_000975075.1	HNCGLAIL_01711 hypothetical protein	176
GCF_000975075.1	HNCGLAIL_01945 Adenylate kinase	188
GCF_002209385.1	HNCJNHGI_04025 hypothetical protein	157
GCF_002209385.1	HNCJNHGI_00799 ATP synthase gamma chain	288
GCF_002209385.1	HNCJNHGI_04377 hypothetical protein	103
GCF_002209385.1	HNCJNHGI_01637 hypothetical protein	439
GCF_002209385.1	HNCJNHGI_00952 hypothetical protein	65
GCF_003003125.1	HNCMJMEH_02115 hypothetical protein	125
GCF_003003125.1	HNCMJMEH_03027 Sensor histidine kinase GraS	334
GCF_003003125.1	HNCMJMEH_02552 NAD-dependent protein deacetylase	226
GCF_003003125.1	HNCMJMEH_01302 hypothetical protein	185
GCF_003003125.1	HNCMJMEH_00703 Acetylglutamate kinase	265
GCF_001010355.1	HNCOEMJA_02345 Ribosomal protein L11 methyltransferase	301
GCF_001010355.1	HNCOEMJA_01585 hypothetical protein	229
GCF_001010355.1	HNCOEMJA_01659 hypothetical protein	66
GCF_001010355.1	HNCOEMJA_01775 hypothetical protein	155
GCF_001010355.1	HNCOEMJA_02783 Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	318
GCF_905332535.1	HNCPHPAD_01474 tRNA-specific adenosine deaminase	165
GCF_905332535.1	HNCPHPAD_01084 Peptide chain release factor 3	525
GCF_905332535.1	HNCPHPAD_01522 Deoxyguanosinetriphosphate triphosphohydrolase-like protein	449
GCF_905332535.1	HNCPHPAD_01673 Photosystem I reaction center subunit IV	147
GCF_905332535.1	HNCPHPAD_01122 putative capsular polysaccharide biosynthesis protein YwqC	248
GCF_900100695.1	HNDKHBAE_04249 hypothetical protein	232
GCF_900100695.1	HNDKHBAE_02028 Cell wall biosynthesis protein LcpA	517
GCF_900100695.1	HNDKHBAE_02652 RecBCD enzyme subunit RecB	1100
GCF_900100695.1	HNDKHBAE_01783 Redox-sensing transcriptional repressor Rex	226
GCF_900100695.1	HNDKHBAE_00550 Acetyl-coenzyme A synthetase	653
GCF_900475185.1	HNEDKHJM_00763 hypothetical protein	280
GCF_900475185.1	HNEDKHJM_00897 dTDP-4-dehydrorhamnose reductase	284
GCF_900475185.1	HNEDKHJM_01552 hypothetical protein	46
GCF_900475185.1	HNEDKHJM_00463 hypothetical protein	60
GCF_900475185.1	HNEDKHJM_00941 Carbamoyl-phosphate synthase small chain	363
GCA_003987715.1	HNEIPCCM_05699 hypothetical protein	462
GCA_003987715.1	HNEIPCCM_04806 hypothetical protein	106
GCA_003987715.1	HNEIPCCM_04289 Transcriptional regulatory protein DegU	223
GCA_003987715.1	HNEIPCCM_01314 Phosphoribosylaminoimidazole-succinocarboxamide synthase	264
GCA_003987715.1	HNEIPCCM_01071 hypothetical protein	236
GCA_025340205.1	HNEOBNMD_00797 Translation initiation factor 2 subunit beta	144
GCA_025340205.1	HNEOBNMD_00533 Adenylyl-sulfate kinase	171
GCA_025340205.1	HNEOBNMD_00450 hypothetical protein	331
GCA_025340205.1	HNEOBNMD_01302 hypothetical protein	220
GCA_025340205.1	HNEOBNMD_00906 DNA polymerase	792
GCF_001889045.1	HNFHMGFC_01686 hypothetical protein	206
GCF_001889045.1	HNFHMGFC_01795 Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	250
GCF_001889045.1	HNFHMGFC_02558 RNA polymerase sigma-54 factor	465
GCF_001889045.1	HNFHMGFC_01784 hypothetical protein	114
GCF_001889045.1	HNFHMGFC_00936 UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit	373
GCF_000160695.1	HNHENEPB_00776 putative HTH-type transcriptional regulator YdjF	251
GCF_000160695.1	HNHENEPB_01475 GTP cyclohydrolase 1	206
GCF_000160695.1	HNHENEPB_00921 hypothetical protein	74
GCF_000160695.1	HNHENEPB_00231 Methyl-accepting chemotaxis protein McpB	656
GCF_000160695.1	HNHENEPB_01138 Elongation factor P	185
GCA_005900485.1	HNHGELCC_03528 Translocation and assembly module subunit TamA	577
GCA_005900485.1	HNHGELCC_04159 Ribosome-binding ATPase YchF	363
GCA_005900485.1	HNHGELCC_01496 HTH-type transcriptional repressor RspR	228
GCA_005900485.1	HNHGELCC_00346 L-cystine uptake protein TcyP	439
GCA_005900485.1	HNHGELCC_00829 hypothetical protein	96
GCF_004168465.1	HNIAJKMA_02156 DNA replication protein DnaC	243
GCF_004168465.1	HNIAJKMA_02548 tRNA(Met) cytidine acetyltransferase TmcA	666
GCF_004168465.1	HNIAJKMA_02301 hypothetical protein	65
GCF_004168465.1	HNIAJKMA_00364 putative D,D-dipeptide transport system permease protein DdpC	282
GCF_004168465.1	HNIAJKMA_00025 Vitamin B12 import system permease protein BtuC	331
GCF_002209165.2	HNIHLOOD_02715 hypothetical protein	55
GCF_002209165.2	HNIHLOOD_02094 Putative multidrug export ATP-binding/permease protein	573
GCF_002209165.2	HNIHLOOD_01498 ATP-dependent DNA helicase RecG	679
GCF_002209165.2	HNIHLOOD_00318 hypothetical protein	179
GCF_002209165.2	HNIHLOOD_00428 Oxygen regulatory protein NreC	217
GCF_013004005.1	HNKFGOFI_01820 hypothetical protein	250
GCF_013004005.1	HNKFGOFI_02676 hypothetical protein	176
GCF_013004005.1	HNKFGOFI_00970 Biopolymer transport protein ExbD	152
GCF_013004005.1	HNKFGOFI_03270 HTH-type transcriptional repressor RspR	227
GCF_013004005.1	HNKFGOFI_02999 hypothetical protein	193
GCF_000018885.1	HNKOKPBB_00370 Bacitracin transport ATP-binding protein BcrA	134
GCF_000018885.1	HNKOKPBB_00234 hypothetical protein	87
GCF_000018885.1	HNKOKPBB_02152 50S ribosomal protein L15	171
GCF_000018885.1	HNKOKPBB_03435 Ferredoxin--NADP reductase	469
GCF_000018885.1	HNKOKPBB_02998 Nucleoid occlusion factor SlmA	128
GCF_002900385.1	HNLFNOMK_00170 Peroxide-responsive repressor PerR	156
GCF_002900385.1	HNLFNOMK_00431 hypothetical protein	57
GCF_002900385.1	HNLFNOMK_00164 putative L-ascorbate-6-phosphate lactonase UlaG	363
GCF_002900385.1	HNLFNOMK_00582 Putative HMP/thiamine import ATP-binding protein YkoD	568
GCF_002900385.1	HNLFNOMK_01521 hypothetical protein	49
GCF_900142375.1	HNMCMPNI_02918 hypothetical protein	407
GCF_900142375.1	HNMCMPNI_01794 LL-diaminopimelate aminotransferase	392
GCF_900142375.1	HNMCMPNI_02123 hypothetical protein	95
GCF_900142375.1	HNMCMPNI_00212 Sirohydrochlorin cobaltochelatase	306
GCF_900142375.1	HNMCMPNI_00857 hypothetical protein	186
GCF_000337615.1	HNMFCPMB_02933 hypothetical protein	114
GCF_000337615.1	HNMFCPMB_03063 manganese-dependent inorganic pyrophosphatase	486
GCF_000337615.1	HNMFCPMB_02646 hypothetical protein	68
GCF_000337615.1	HNMFCPMB_00235 hypothetical protein	73
GCF_000337615.1	HNMFCPMB_02999 Hydroxyacylglutathione hydrolase	336
GCF_023008425.1	HNMLEBKJ_04317 Aldehyde-alcohol dehydrogenase	867
GCF_023008425.1	HNMLEBKJ_02179 hypothetical protein	605
GCF_023008425.1	HNMLEBKJ_03853 Polyphenol oxidase	272
GCF_023008425.1	HNMLEBKJ_05906 L-threonine dehydratase catabolic TdcB	333
GCF_023008425.1	HNMLEBKJ_03167 p-aminobenzoyl-glutamate hydrolase subunit B	401
GCF_013284455.2	HNNAAJFI_05041 hypothetical protein	163
GCF_013284455.2	HNNAAJFI_03442 hypothetical protein	131
GCF_013284455.2	HNNAAJFI_03338 putative transporter	441
GCF_013284455.2	HNNAAJFI_02095 Aminoalkylphosphonate N-acetyltransferase	143
GCF_013284455.2	HNNAAJFI_04582 Ribosomal RNA small subunit methyltransferase H	190
GCF_014699135.1	HNNAGGDL_03255 hypothetical protein	75
GCF_014699135.1	HNNAGGDL_00493 hypothetical protein	135
GCF_014699135.1	HNNAGGDL_02372 hypothetical protein	472
GCF_014699135.1	HNNAGGDL_00154 hypothetical protein	111
GCF_014699135.1	HNNAGGDL_01338 Vitamin B12 transporter BtuB	804
GCA_003501325.1	HNNMEPHI_01442 Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO	59
GCA_003501325.1	HNNMEPHI_00038 Zinc/cadmium/lead-transporting P-type ATPase	745
GCA_003501325.1	HNNMEPHI_04709 hypothetical protein	49
GCA_003501325.1	HNNMEPHI_03846 L-carnitine dehydrogenase	172
GCA_003501325.1	HNNMEPHI_01408 Biotinylated protein TB7.3	73
GCF_002259605.1	HNNNHINM_00148 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	1172
GCF_002259605.1	HNNNHINM_01568 Guanine/hypoxanthine permease PbuG	464
GCF_002259605.1	HNNNHINM_00264 hypothetical protein	232
GCF_002259605.1	HNNNHINM_01770 3'-5' exonuclease DinG	374
GCF_002259605.1	HNNNHINM_01388 hypothetical protein	286
GCF_003569805.1	HNNNPBFD_02814 Vitamin B12 import ATP-binding protein BtuD	339
GCF_003569805.1	HNNNPBFD_01736 hypothetical protein	169
GCF_003569805.1	HNNNPBFD_01600 Aclacinomycin methylesterase RdmC	280
GCF_003569805.1	HNNNPBFD_01477 HTH-type transcriptional regulator BetI	203
GCF_003569805.1	HNNNPBFD_01821 hypothetical protein	100
GCF_025532145.1	HNOBMMMG_01281 Adaptive-response sensory-kinase SasA	440
GCF_025532145.1	HNOBMMMG_02713 hypothetical protein	224
GCF_025532145.1	HNOBMMMG_01805 hypothetical protein	94
GCF_025532145.1	HNOBMMMG_04156 hypothetical protein	478
GCF_025532145.1	HNOBMMMG_02412 HTH-type transcriptional regulator BetI	199
GCF_904845915.1	HNOBPEPD_01836 Cell division protein FtsB	102
GCF_904845915.1	HNOBPEPD_02496 hypothetical protein	402
GCF_904845915.1	HNOBPEPD_01725 hypothetical protein	263
GCF_904845915.1	HNOBPEPD_01717 hypothetical protein	73
GCF_904845915.1	HNOBPEPD_01551 Lactoylglutathione lyase	189
GCF_002936955.1	HNOCLIFG_02401 hypothetical protein	105
GCF_002936955.1	HNOCLIFG_00767 hypothetical protein	184
GCF_002936955.1	HNOCLIFG_01168 1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	184
GCF_002936955.1	HNOCLIFG_02565 Tail-specific protease	668
GCF_002936955.1	HNOCLIFG_00586 2Fe-2S ferredoxin	112
GCF_900107485.1	HNOLEGBM_02201 30S ribosomal protein S13	122
GCF_900107485.1	HNOLEGBM_02687 UDP-N-acetylglucosamine 4,6-dehydratase (inverting)	351
GCF_900107485.1	HNOLEGBM_01383 hypothetical protein	374
GCF_900107485.1	HNOLEGBM_01009 Ion-translocating oxidoreductase complex subunit B	247
GCF_900107485.1	HNOLEGBM_02767 tRNA (guanine-N(1)-)-methyltransferase	252
GCF_008807015.1	HOAMBCOP_00380 Small ribosomal subunit biogenesis GTPase RsgA	290
GCF_008807015.1	HOAMBCOP_00495 hypothetical protein	325
GCF_008807015.1	HOAMBCOP_00471 hypothetical protein	335
GCF_008807015.1	HOAMBCOP_00992 Pyruvate oxidase	598
GCF_008807015.1	HOAMBCOP_00765 hypothetical protein	87
GCF_003851925.1	HOBANJNI_06062 Biosynthetic peptidoglycan transglycosylase	240
GCF_003851925.1	HOBANJNI_04911 Quinolinate synthase A	352
GCF_003851925.1	HOBANJNI_02747 hypothetical protein	142
GCF_003851925.1	HOBANJNI_03526 Carbohydrate diacid regulator	381
GCF_003851925.1	HOBANJNI_05201 Baeyer-Villiger monooxygenase	504
GCF_003182415.1	HOBPPAID_03690 Thioredoxin	109
GCF_003182415.1	HOBPPAID_00821 hypothetical protein	34
GCF_003182415.1	HOBPPAID_05907 hypothetical protein	298
GCF_003182415.1	HOBPPAID_06358 hypothetical protein	83
GCF_003182415.1	HOBPPAID_03892 hypothetical protein	312
GCF_900100165.1	HOCAMKBK_00524 hypothetical protein	1068
GCF_900100165.1	HOCAMKBK_01104 hypothetical protein	174
GCF_900100165.1	HOCAMKBK_03068 hypothetical protein	171
GCF_900100165.1	HOCAMKBK_01944 hypothetical protein	158
GCF_900100165.1	HOCAMKBK_01619 hypothetical protein	566
GCF_014697095.1	HOCGIPKB_04474 Xylulose kinase	495
GCF_014697095.1	HOCGIPKB_02283 hypothetical protein	215
GCF_014697095.1	HOCGIPKB_04187 Malate dehydrogenase	324
GCF_014697095.1	HOCGIPKB_03629 Biotin carboxylase	446
GCF_014697095.1	HOCGIPKB_03574 4-hydroxy-tetrahydrodipicolinate synthase	309
GCF_900100295.1	HODAEACA_00468 Deoxyribose-phosphate aldolase 2	223
GCF_900100295.1	HODAEACA_02874 Cysteine desulfurase IscS	380
GCF_900100295.1	HODAEACA_02051 Putative aliphatic sulfonates transport permease protein SsuC	252
GCF_900100295.1	HODAEACA_02438 Methionine-binding lipoprotein MetQ	303
GCF_900100295.1	HODAEACA_00166 Acyl-CoA dehydrogenase	378
GCF_000091325.1	HODBNKCC_03103 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	161
GCF_000091325.1	HODBNKCC_03399 Protease HtpX	422
GCF_000091325.1	HODBNKCC_02228 50S ribosomal protein L20	119
GCF_000091325.1	HODBNKCC_01835 hypothetical protein	360
GCF_000091325.1	HODBNKCC_00985 hypothetical protein	236
GCF_000266925.1	HODPBIHM_01208 hypothetical protein	86
GCF_000266925.1	HODPBIHM_01606 hypothetical protein	104
GCF_000266925.1	HODPBIHM_01884 Glycine betaine/choline transport system permease protein OusW	282
GCF_000266925.1	HODPBIHM_00774 Methylthioribose-1-phosphate isomerase	365
GCF_000266925.1	HODPBIHM_01230 hypothetical protein	51
GCF_002157165.1	HOECJLBO_02779 50S ribosomal protein L32	60
GCF_002157165.1	HOECJLBO_03576 hypothetical protein	83
GCF_002157165.1	HOECJLBO_03411 Putative ATP-dependent 6-phosphofructokinase isozyme 2	318
GCF_002157165.1	HOECJLBO_02795 hypothetical protein	758
GCF_002157165.1	HOECJLBO_00821 Response regulator UvrY	218
GCF_902153235.2	HOEEECOJ_03525 Glycine cleavage system transcriptional activator	299
GCF_902153235.2	HOEEECOJ_01251 Sec-independent protein translocase protein TatB	223
GCF_902153235.2	HOEEECOJ_03645 putative HTH-type transcriptional regulator YbbH	275
GCF_902153235.2	HOEEECOJ_01901 Tyrosine recombinase XerC	344
GCF_902153235.2	HOEEECOJ_03374 hypothetical protein	60
GCF_900156255.1	HOEHEJAG_01527 Putative membrane protein insertion efficiency factor	80
GCF_900156255.1	HOEHEJAG_02434 hypothetical protein	181
GCF_900156255.1	HOEHEJAG_02850 Efflux pump periplasmic linker BepF	365
GCF_900156255.1	HOEHEJAG_02506 Catalase	502
GCF_900156255.1	HOEHEJAG_01899 hypothetical protein	329
GCF_016735115.1	HOEKCBHO_03773 Manganese transport system ATP-binding protein MntB	245
GCF_016735115.1	HOEKCBHO_02084 TPR repeat-containing protein YrrB	230
GCF_016735115.1	HOEKCBHO_00518 hypothetical protein	744
GCF_016735115.1	HOEKCBHO_01414 hypothetical protein	219
GCF_016735115.1	HOEKCBHO_01364 Phenylalanine--tRNA ligase beta subunit	808
GCF_016907715.1	HOFBLCFP_05042 hypothetical protein	283
GCF_016907715.1	HOFBLCFP_01754 Dihydrolipoyl dehydrogenase	475
GCF_016907715.1	HOFBLCFP_03984 Transaldolase	369
GCF_016907715.1	HOFBLCFP_04075 Narbonolide/10-deoxymethynolide synthase PikA2, modules 3 and 4	309
GCF_016907715.1	HOFBLCFP_03910 Vitamin B12 import ATP-binding protein BtuD	316
GCF_010093445.1	HOFCBKPP_02862 hypothetical protein	155
GCF_010093445.1	HOFCBKPP_02189 Coniferyl aldehyde dehydrogenase	508
GCF_010093445.1	HOFCBKPP_03495 Oxygen sensor protein DosP	869
GCF_010093445.1	HOFCBKPP_02471 hypothetical protein	79
GCF_010093445.1	HOFCBKPP_02704 Elongation factor 4	602
GCF_000160575.1	HOFGECMJ_00443 N5-carboxyaminoimidazole ribonucleotide mutase	163
GCF_000160575.1	HOFGECMJ_01279 Protein DedA	218
GCF_000160575.1	HOFGECMJ_00859 hypothetical protein	382
GCF_000160575.1	HOFGECMJ_00396 Oligopeptide transport ATP-binding protein OppD	373
GCF_000160575.1	HOFGECMJ_00283 hypothetical protein	185
GCF_013409045.1	HOFMHBJK_02097 hypothetical protein	311
GCF_013409045.1	HOFMHBJK_00248 hypothetical protein	170
GCF_013409045.1	HOFMHBJK_03719 Vitamin B6 salvage pathway transcriptional repressor PtsJ	444
GCF_013409045.1	HOFMHBJK_04782 Beta-barrel assembly-enhancing protease	147
GCF_013409045.1	HOFMHBJK_03602 Chromosome partition protein Smc	510
GCF_900188415.1	HOGBLHGA_03443 Nucleoside diphosphate kinase	139
GCF_900188415.1	HOGBLHGA_02228 Glutaryl-7-aminocephalosporanic-acid acylase	724
GCF_900188415.1	HOGBLHGA_03030 Dodecaprenyl-phosphate galacturonate synthase	319
GCF_900188415.1	HOGBLHGA_02478 Putative aminoacrylate hydrolase RutD	376
GCF_900188415.1	HOGBLHGA_03579 hypothetical protein	278
GCF_016725645.1	HOGBPNOL_01189 hypothetical protein	1205
GCF_016725645.1	HOGBPNOL_02735 HTH-type transcriptional activator RhaS	265
GCF_016725645.1	HOGBPNOL_00063 Tryptophan--tRNA ligase	332
GCF_016725645.1	HOGBPNOL_01468 Putative metallo-hydrolase YycJ	260
GCF_016725645.1	HOGBPNOL_03343 Tyrosine recombinase XerC	414
GCA_022787285.1	HOGLFMJF_00826 hypothetical protein	151
GCA_022787285.1	HOGLFMJF_01175 Flagellar hook-basal body complex protein FliE	105
GCA_022787285.1	HOGLFMJF_01120 UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase	386
GCA_022787285.1	HOGLFMJF_01041 Magnesium transport protein CorA	318
GCA_022787285.1	HOGLFMJF_01242 2-dehydro-3-deoxyphosphooctonate aldolase	268
GCF_000374405.1	HOGPFAJM_01086 putative 2,4-dienoyl-CoA reductase	289
GCF_000374405.1	HOGPFAJM_00497 hypothetical protein	247
GCF_000374405.1	HOGPFAJM_00856 IS982 family transposase IS195	115
GCF_000374405.1	HOGPFAJM_00034 Ribulose-phosphate 3-epimerase	217
